scenario,trial,n_patients,fit_ok,converged,lka,lcl,lvc,KA,CL,V,omega2_cl,omega_cl_v,omega2_v,rho_cl_v,sigma_prop,sigma2_prop,objf,aic,sh_eta_cl_pct,sh_eta_v_pct,sh_eps_pct,convergence
scenario2,388,100,True,True,1.9949689842,2.1837788728,2.9963423053,7.3519749969,8.8797985666,20.0122043562,0.069279594014,0.05214681483,0.040772180423,0.98116749219,0.37206212795,0.13843022706,2203.9138148327,2769.2769347555,17.965492813,19.8525916637,9.7069814193,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,389,100,True,True,2.1881731281,2.1259824222,2.9449717086,8.9189045265,8.3811272506,19.0101245557,0.067196842327,0.02267603609,0.0089962283158,0.92227932355,0.36643605181,0.13427538007,2224.9525268341,2790.3156467569,14.3043628041,22.6798445268,10.049118187,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,390,100,True,True,2.1275878639,2.1765161075,3.0220997581,8.3945934681,8.8155403026,20.5343636449,0.092605025734,0.056486829697,0.035969261094,0.97873284801,0.39720869471,0.15777474716,2259.5860561617,2824.9491760845,14.5925117719,16.9326616021,9.8776267019,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,391,100,True,True,2.6218893807,2.2613368201,3.0257272497,13.7617001287,9.5959085999,20.6089871426,0.13677690087,0.067281109542,0.034606986733,0.97792347632,0.36238444056,0.13132248276,2220.7148664454,2786.0779863682,8.2416258843,10.9844110536,11.9176985578,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,392,100,True,True,2.2931121252,2.1228240125,2.9429218912,9.9057175945,8.3546979758,18.9711971827,0.0869586775,0.052932503309,0.033729920732,0.97736843717,0.36574790057,0.13377152677,2222.1249764827,2787.4880964055,13.5052670716,16.2152239813,10.6637297035,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,393,100,True,True,2.1516811688,2.1016901982,2.9503400405,8.5993031315,8.1799840291,19.1124516304,0.12115290907,0.070329336113,0.042349536119,0.98185027407,0.33717837734,0.11368925814,2243.0497894783,2808.4129094011,9.4413281471,11.4897166056,12.1414742065,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,394,100,True,True,2.178624854,2.1793766993,2.9601367364,8.8341496564,8.840794068,19.3006106712,0.094522016372,0.045584469431,0.023464142895,0.96793917699,0.35904433125,0.1289128318,2211.0860673548,2776.4491872777,11.2144252707,15.0612862537,11.1377486222,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,395,100,True,True,2.4030864337,2.1707707301,2.9478741525,11.0572512418,8.7650369162,19.0653805262,0.10522463995,0.064086925072,0.040552951582,0.9810688252,0.34893080871,0.12175270927,2194.0350316261,2759.3981515489,10.2559581493,12.6200165496,11.7806755088,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,396,100,True,True,2.2792935862,2.1929120867,3.0030990837,9.7697764663,8.961271153,20.147880237,0.11961882162,0.0728312414,0.045871644323,0.98320889408,0.35547115295,0.12635974058,2234.3563850469,2799.7195049697,10.1505924641,12.0691459689,11.7612383516,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,397,100,True,True,2.4505454765,2.1290085792,2.9497299164,11.5946696147,8.4065282718,19.1007942198,0.092688516925,0.056438464057,0.035879142819,0.97868107448,0.35479579049,0.12588005295,2219.0605144858,2784.4236344086,12.3053165467,14.8303772789,11.1605790326,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,398,100,True,True,2.2290886712,2.0884516032,2.9360972184,9.2913947039,8.0724061943,18.8421657674,0.063187430843,0.038632663235,0.02510652736,0.96994247054,0.37792678979,0.14282865844,2245.4172832617,2810.7804031845,18.5202624451,21.6599787456,9.1840058823,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,399,100,True,True,2.2255751696,2.2508832678,3.0246586578,9.2588066566,9.4961197496,20.586976308,0.11580607022,0.06488882933,0.037875583085,0.97977107306,0.31641249713,0.10011686834,2147.5627903208,2712.9259102436,8.5502919549,11.0338155337,12.87013807,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,400,100,True,True,2.0590685778,2.1560934821,2.9285887021,7.8386653021,8.6373297823,18.7012188732,0.097023899523,0.064739796323,0.044724272844,0.982789079,0.36653219221,0.13434584792,2228.1269589063,2793.4900788291,12.5721292034,14.6029337466,11.0013657266,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,401,100,True,True,2.2566937703,2.137769838,3.0012370059,9.5514575921,8.4805036267,20.110398225,0.10491550288,0.063899810393,0.040439539172,0.98101723469,0.35906777322,0.12892966576,2195.2578729499,2760.6209928727,12.5895746189,14.7663910202,16.0853285126,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,402,100,True,True,2.1066133009,2.1133535225,2.873400475,8.2203542225,8.2759483795,17.6970945254,0.090338681043,0.055007097945,0.035005657169,0.97816640461,0.3498236665,0.12237659764,2233.8281017217,2799.1912216445,12.1921602322,14.8746599771,11.2163184395,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,403,100,True,True,2.1717068915,2.2403338443,3.0875755055,8.7732462472,9.3964677208,21.9238592105,0.10669814926,0.067610411771,0.044367871546,0.98265448417,0.34274768542,0.11747597586,2150.4420588952,2715.805178818,10.8753477373,12.8580292233,11.7084522768,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,404,100,True,True,2.4987085833,2.1729146186,3.0040899586,12.1667714386,8.7838483352,20.1678541604,0.065090796693,0.034138429288,0.01936565708,0.96154059227,0.36231140386,0.13126955337,2196.1309413455,2761.4940612683,16.2576142712,20.5126025271,9.8473616194,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,405,100,True,True,2.1494825393,2.188322601,2.9727155709,8.5804172197,8.9202377604,19.5449232203,0.10201635472,0.051250428554,0.027240419214,0.97220020275,0.37826032591,0.14308087416,2228.5174784891,2793.8805984119,11.3054630155,14.7005536393,10.8791967525,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,406,100,True,True,2.2040466511,2.1926332975,2.9732685215,9.0616085744,8.9587731954,19.5557335869,0.092621674218,0.050161819562,0.028664105123,0.97352649195,0.35890681963,0.12881410518,2221.276900413,2786.6400203358,12.1268163041,15.2368634493,11.0137012548,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,407,100,True,True,2.3553032153,2.1520580594,2.9443690321,10.5413246679,8.6025447396,18.9986710529,0.078404264325,0.041490274557,0.023436323168,0.96790275871,0.36968428836,0.13666647306,2233.2228646038,2798.5859845266,14.1493496237,17.8598869215,10.3497631033,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,408,100,True,True,2.0209387648,2.1681761386,2.9267658909,7.5454049702,8.742324703,18.6671611321,0.090217858198,0.055211133879,0.035300327458,0.97834277714,0.33168663178,0.1100160217,2179.8583973637,2745.2215172865,11.3690271199,13.9007869388,11.7990529513,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,409,100,True,True,2.1585437355,2.1741728592,2.9643163747,8.6585193782,8.7949074857,19.3814490619,0.10391414093,0.056370359327,0.032085237528,0.976249553,0.37343308459,0.13945226867,2245.2791873413,2810.6423072641,11.3964873322,14.258795074,11.0127810988,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,410,100,True,True,2.1014232382,2.1719945971,2.923564344,8.1778005922,8.775770722,18.607492906,0.095110596409,0.057710723675,0.036532063615,0.97905021053,0.33633396166,0.11312053377,2187.6400908149,2753.0032107377,10.6989346327,13.4119287691,11.8844796031,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,411,100,True,True,2.0783387742,2.216061677,3.0138483923,7.9911827227,9.1711407339,20.3656242208,0.089345369679,0.051092652663,0.030720472009,0.97523321459,0.36938118496,0.1364424598,2202.7173124369,2768.0804323597,12.9940146205,15.8846792459,10.6346037442,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,412,100,True,True,2.0831815298,2.1841472717,2.9406750614,8.0299759247,8.8830704769,18.9286199818,0.10565083257,0.062564150337,0.038567105853,0.98012296266,0.3555148604,0.12639081597,2196.0270450379,2761.3901649607,10.6801611453,13.1587462315,11.5747327014,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,413,100,True,True,2.2729863885,2.1314440853,2.9084735725,9.7083504712,8.427027375,18.3287996201,0.12456677345,0.072905711444,0.044195434161,0.98258864794,0.32198871929,0.10367673535,2219.1201112751,2784.4832311979,7.9068369552,10.0495508986,12.882741128,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,414,100,True,True,2.2455048295,2.2037832796,3.0132003661,9.44518256,9.0592223187,20.352431038,0.12595229107,0.070345047538,0.040809341171,0.9811845472,0.35207217457,0.1239548161,2221.55626457,2786.9193844928,9.3187427132,11.5646540677,11.8998337165,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,415,100,True,True,2.3017233908,2.1983483724,3.0061893891,9.9913866899,9.0101198407,20.2102396452,0.12049844289,0.063220458271,0.034680395123,0.97796858372,0.38449567191,0.14783692172,2255.4923019286,2820.8554218514,10.500167122,13.1472938332,11.0123741533,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,416,100,True,True,2.1282525838,2.2415261239,3.0095034358,8.4001753766,9.4076776189,20.2773284298,0.065220939156,0.044278502918,0.031565518647,0.97587218553,0.36350319436,0.13213457231,2161.3267330583,2726.6898529811,17.5656980309,20.1783239303,9.7713545322,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,417,100,True,True,2.0884460041,2.1748424403,2.955434334,8.0723609963,8.8007983615,19.2100644917,0.11660062724,0.074812485883,0.049531979265,0.98442084495,0.3465700557,0.12011080351,2206.6165184214,2771.9796383442,9.9727511323,11.8523850823,11.9859499871,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,418,100,True,True,2.2230037862,2.2006267248,2.9710616169,9.2350292984,9.0306714718,19.5126235348,0.12061262059,0.057737482214,0.029137889795,0.97394047918,0.34618214403,0.11984207685,2230.5883104351,2795.9514303579,8.7081899773,11.8660587544,12.0447975911,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,419,100,True,True,2.2661983013,2.1860481965,3.0207444922,9.6426725074,8.8999725858,20.5065529706,0.11399958449,0.064782979982,0.038332063139,0.98000477063,0.3520837053,0.12396293554,2212.5263220911,2777.8894420139,10.3005233161,12.6235287679,11.6558192768,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
