trial,trial_dir,seed_base,trial_seed_master
275,/project/data/scenario1/bootstrap/trial_0275,4869,2754869
276,/project/data/scenario1/bootstrap/trial_0276,4869,2764869
277,/project/data/scenario1/bootstrap/trial_0277,4869,2774869
278,/project/data/scenario1/bootstrap/trial_0278,4869,2784869
279,/project/data/scenario1/bootstrap/trial_0279,4869,2794869
280,/project/data/scenario1/bootstrap/trial_0280,4869,2804869
281,/project/data/scenario1/bootstrap/trial_0281,4869,2814869
282,/project/data/scenario1/bootstrap/trial_0282,4869,2824869
283,/project/data/scenario1/bootstrap/trial_0283,4869,2834869
284,/project/data/scenario1/bootstrap/trial_0284,4869,2844869
285,/project/data/scenario1/bootstrap/trial_0285,4869,2854869
286,/project/data/scenario1/bootstrap/trial_0286,4869,2864869
287,/project/data/scenario1/bootstrap/trial_0287,4869,2874869
288,/project/data/scenario1/bootstrap/trial_0288,4869,2884869
289,/project/data/scenario1/bootstrap/trial_0289,4869,2894869
290,/project/data/scenario1/bootstrap/trial_0290,4869,2904869
291,/project/data/scenario1/bootstrap/trial_0291,4869,2914869
292,/project/data/scenario1/bootstrap/trial_0292,4869,2924869
293,/project/data/scenario1/bootstrap/trial_0293,4869,2934869
294,/project/data/scenario1/bootstrap/trial_0294,4869,2944869
295,/project/data/scenario1/bootstrap/trial_0295,4869,2954869
296,/project/data/scenario1/bootstrap/trial_0296,4869,2964869
297,/project/data/scenario1/bootstrap/trial_0297,4869,2974869
298,/project/data/scenario1/bootstrap/trial_0298,4869,2984869
299,/project/data/scenario1/bootstrap/trial_0299,4869,2994869
300,/project/data/scenario1/bootstrap/trial_0300,4869,3004869
301,/project/data/scenario1/bootstrap/trial_0301,4869,3014869
302,/project/data/scenario1/bootstrap/trial_0302,4869,3024869
303,/project/data/scenario1/bootstrap/trial_0303,4869,3034869
304,/project/data/scenario1/bootstrap/trial_0304,4869,3044869
305,/project/data/scenario1/bootstrap/trial_0305,4869,3054869
306,/project/data/scenario1/bootstrap/trial_0306,4869,3064869
307,/project/data/scenario1/bootstrap/trial_0307,4869,3074869
308,/project/data/scenario1/bootstrap/trial_0308,4869,3084869
309,/project/data/scenario1/bootstrap/trial_0309,4869,3094869
310,/project/data/scenario1/bootstrap/trial_0310,4869,3104869
311,/project/data/scenario1/bootstrap/trial_0311,4869,3114869
312,/project/data/scenario1/bootstrap/trial_0312,4869,3124869
313,/project/data/scenario1/bootstrap/trial_0313,4869,3134869
314,/project/data/scenario1/bootstrap/trial_0314,4869,3144869
