"iter","eval_type","client","objf","grad_lka","grad_lcl","grad_lvc","grad_CcPropSd","grad_pchol__omega_cl_v__etaLcl__etaLcl","grad_pchol__omega_cl_v__etaLcl__etaLvc","grad_pchol__omega_cl_v__etaLvc__etaLvc"
14,"fn","http://client2:8000",664.1666,-7.685,-22.482,25.1251,5.698,-4.0035,1.8512,0.5905
14,"fn","http://client3:8000",682.7651,1.1811,21.3648,-68.481,7.1175,-0.8836,0.9875,-1.6435
14,"gr","http://client1:8000",889.5665,12.0082,15.9044,50.3535,-21.8232,-4.614,2.0326,13.3774
14,"gr","http://client2:8000",664.1666,-7.685,-22.482,25.1251,5.698,-4.0035,1.8512,0.5905
14,"gr","http://client3:8000",682.7651,1.1811,21.3648,-68.481,7.1175,-0.8836,0.9875,-1.6435
15,"fn","http://client1:8000",888.469,15.0654,12.1804,19.1213,-10.8652,-2.9715,1.1218,9.2236
15,"fn","http://client2:8000",662.3391,-2.3699,-27.9251,3.108,17.2821,-3.0815,1.2188,0.4887
15,"fn","http://client3:8000",684.8234,5.3957,22.8207,-93.1028,14.4291,-0.1247,0.522,-1.2052
15,"gr","http://client1:8000",888.469,15.0654,12.1804,19.1213,-10.8652,-2.9715,1.1218,9.2236
15,"gr","http://client2:8000",662.3391,-2.3699,-27.9251,3.108,17.2821,-3.0815,1.2188,0.4887
15,"gr","http://client3:8000",684.8234,5.3957,22.8207,-93.1028,14.4291,-0.1247,0.522,-1.2052
16,"fn","http://client1:8000",889.4778,13.3255,8.6593,45.8483,-16.671,-1.7623,1.2843,11.5219
16,"fn","http://client2:8000",662.293,-4.3939,-32.1553,24.2765,13.3545,-2.4659,1.2347,1.5383
16,"fn","http://client3:8000",682.3292,3.8877,18.6372,-74.4908,13.8337,0.9343,0.65,-0.9176
16,"gr","http://client1:8000",889.4778,13.3255,8.6593,45.8483,-16.671,-1.7623,1.2843,11.5219
